证券代码,证券名称,省份,行业类别,2018净利润（万元）
430235.OC,ST典雅,北京,媒体与娱乐,-391.7437
430236.OC,美兰股份,安徽,原材料,964.8533
430238.OC,普华科技,上海,软件与服务,"1,764.53"
430239.OC,信诺达,北京,半导体产品与设备,"-1,169.74"
430240.OC,随视传媒,北京,媒体与娱乐,-936.612
430241.OC,威林科技,湖北,原材料,241.8324
430242.OC,蓝贝望,北京,制药、生物科技和生命科学,"-1,113.10"
430244.OC,ST颂大,湖北,软件与服务,"-37,849.62"
430246.OC,时代星盟,北京,软件与服务,232.5518
430247.OC,金日创,北京,软件与服务,-71.3358
430249.OC,慧峰仁和,北京,资本品,"1,418.61"
430250.OC,智网科技,北京,软件与服务,-393.1695
430251.OC,光电高斯,天津,软件与服务,-602.7773
430252.OC,联宇技术,湖北,软件与服务,4.8801
430253.OC,兴竹信息,北京,软件与服务,"-10,778.03"
430254.OC,中卉生态,上海,资本品,774.7484
430255.OC,中幼教育,北京,软件与服务,-309.1436
430256.OC,卓繁信息,上海,软件与服务,"1,596.19"
430257.OC,成科机电,天津,资本品,730.0116
430258.OC,易同科技,上海,软件与服务,984.618
430260.OC,布雷尔利,河北,资本品,"2,078.81"
430262.OC,神州云动,北京,软件与服务,"-1,219.82"
430263.OC,ST蓝天,北京,公用事业,"-8,138.08"
430264.OC,中舟环保,湖北,资本品,-470.2975
430265.OC,国威机床,湖北,资本品,-740.4444
430266.OC,联动设计,湖北,商业和专业服务,-76.0944
430267.OC,盛世光明,北京,软件与服务,"4,132.82"
430268.OC,恒信启华,北京,软件与服务,81.1326
430269.OC,新网程,上海,软件与服务,41.6104
430271.OC,瑞灵石油,天津,资本品,282.69
430272.OC,世富环保,上海,资本品,"-6,614.06"
430273.OC,永天科技,上海,电信业务,-989.3653
430274.OC,重钢机械,天津,资本品,"2,325.20"
430276.OC,晟矽微电,上海,半导体产品与设备,"-1,550.07"
430277.OC,圣商教育,北京,商业和专业服务,"9,725.14"
430279.OC,华安股份,湖北,技术硬件与设备,——
430281.OC,能为科技,北京,商业和专业服务,-759.4278
430282.OC,优睿传媒,上海,媒体与娱乐,-113.526
430283.OC,景弘环境,湖北,商业和专业服务,"-1,179.82"
430284.OC,科胜石油,北京,能源,-249.7281
